Card Name,Inventory Price,Market Price
You Can Be My Samurai!!,$0.25,$0.61
Donquixote Doflamingo (073),$4.75,$5.20
Izo,$0.95,$1.64
Otama,$1.24,$1.82
Radical Beam!!,$1.00,$1.30
Kouzuki Momonosuke,$0.85,$1.26
Brook,$0.09,$0.24
Monkey.D.Luffy (024),$2.99,$3.64
"Eustass""Captain""Kid",$24.29,$26.68
Perona,$0.77,$0.95
Boa Hancock,$2.69,$4.23
Desert Spada,$0.45,$0.94
Sanji,$0.62,$1.15
Dracule Mihawk,$5.00,$4.50
Trafalgar Law (047),$3.00,$3.69
Romance Dawn - Booster Pack,$7.90,$8.21
X.Drake (054),$0.33,$0.53
Punk Gibson,$0.65,$0.96
Roronoa Zoro (025),$0.50,$1.32
Denjiro,$0.25,$0.46
Romance Dawn - Booster Box (Wave 1 - Blue),$925.00,$336.40
Yamato,$17.75,$18.11
DON!! Card (Alternate Art),$1.80,$1.96
Crocodile (067),$0.50,$0.96
Nami,$0.19,$0.32
X.Drake (114),$0.15,$0.39
Overheat,$0.25,$0.58
Shanks,$3.95,$5.72
Kaido (094),$0.68,$1.32
Gecko Moria,$0.08,$0.20
Killer,$0.22,$0.35
DON!! Card // One Piece Film RED Promo,$0.01,$0.15
Gum-Gum Fire-Fist Pistol Red Hawk,$0.14,$0.34
Okiku,$0.09,$0.41
King (096),$0.41,$0.86
Paradise Waterfall,$0.18,$0.38
Nico Robin,$0.09,$0.26
Basil Hawkins,$0.05,$0.31
Donquixote Doflamingo (060),$0.08,$0.42
Thunder Bagua,$0.15,$0.39
Pacifista,$0.08,$0.18
Caesar Clown,$0.06,$0.16
Tony Tony.Chopper,$0.03,$0.16
Perona (Box Topper),$15.75,$16.77
Kin'emon,$0.24,$0.46
Bartholomew Kuma,$0.09,$0.28
Uta,$0.04,$0.23
In Two Years!! At the Sabaody Archipelago!!,$0.14,$0.34
Demon Face,$0.08,$0.14
Ulti,$0.02,$0.26
Komachiyo,$0.01,$0.07
Sasaki,$0.05,$0.20
Usopp,$0.05,$0.18
Page One,$0.10,$0.23
Black Maria,$0.10,$0.24
Gordon,$0.07,$0.19
Franky,$0.05,$0.12
Ms. All Sunday,$0.10,$0.25
Alvida (Box Topper),$1.68,$2.35
Bartolomeo,$0.01,$0.06
Roronoa Zoro (001),$0.50,$0.75
King (096) (Parallel),$8.29,$9.59
Jinbe (071),$0.05,$0.18
Monkey.D.Luffy (024) (Parallel),$25.00,$26.97
Alvida,$0.05,$0.12
Monkey.D.Luffy (003),$0.15,$0.26
Hitokiri Kamazo,$0.09,$0.18
Crocodile (067) (Parallel),$8.50,$9.44
Nekomamushi (Box Topper),$0.68,$0.85
Raizo,$0.10,$0.20
Jack,$0.09,$0.18
Nekomamushi,$0.01,$0.09
Kin'emon (Parallel),$3.47,$5.22
Ulti (Parallel),$7.99,$7.49
Jack (Parallel),$5.00,$4.75
Round Table,$0.05,$0.13
Jinbe (014),$0.07,$0.13
Hyogoro,$0.01,$0.05
Green Star Rafflesia,$0.03,$0.09
Bepo,$0.10,$0.15
Kaido (061),$0.15,$0.25
Queen,$0.09,$0.16
Sheep's Horn,$0.01,$0.10
Shanks (Parallel),$12.99,$15.06
Trafalgar Law (002),$0.16,$0.31
Trafalgar Law (047) (Parallel),$28.60,$26.09
Cavendish (Box Topper),$0.45,$0.71
Inuarashi,$0.02,$0.07
Mr.2.Bon.Kurei (Bentham),$0.02,$0.12
Cavendish,$0.01,$0.05
Arlong,$0.05,$0.10
Smiley,$0.01,$0.06
Bellamy,$0.01,$0.04
Caribou,$0.01,$0.04
Sanji (Parallel),$29.95,$30.82
Kaido (094) (Parallel),$14.24,$14.92
"Eustass""Captain""Kid (Parallel)",$60.00,$73.27
Ulti-Mortar,$0.04,$0.15
Queen (Parallel),$3.98,$5.22
Donquixote Doflamingo (073) (Parallel),$48.00,$52.80
Boa Hancock (Parallel),$63.50,$62.56
Inuarashi (Box Topper),$1.00,$1.02
Vergo,$0.01,$0.05
Kawamatsu,$0.01,$0.05
Who's.Who (Box Topper),$0.25,$0.53
Miss Doublefinger(Zala),$0.01,$0.06
Monet,$0.03,$0.05
Wire,$0.01,$0.04
Marco,$0.01,$0.03
Officer Agents,$0.02,$0.06
Ashura Doji,$0.04,$0.10
Romance Dawn - Booster Box (Wave 2 - White),$229.99,$244.58
Romance Dawn - Sleeved Booster Pack,$18.95,$21.92
Fukurokuju,$0.01,$0.05
Speed,$0.01,$0.07
Komurasaki,$0.05,$0.16
Mr.3 (Galdino),$0.05,$0.09
Carrot,$0.01,$0.07
King (091),$0.14,$0.22
BE-BENG!!,$0.01,$0.04
Crescent Cutlass,$0.03,$0.13
Dracule Mihawk (Parallel),$36.74,$37.28
Hajrudin,$0.01,$0.04
Kyoshirou,$0.02,$0.11
Scratchmen Apoo,$0.01,$0.07
Shachi,$0.01,$0.07
Penguin,$0.02,$0.08
Mocha,$0.01,$0.05
Kanjuro,$0.01,$0.04
Crocodile (062),$0.06,$0.23
Kouzuki Oden,$0.08,$0.20
Krieg,$0.01,$0.04
Yamato (Parallel),$52.99,$57.74
Baroque Works,$0.04,$0.13
Otsuru,$0.01,$0.04
Bao Huang,$0.01,$0.04
Shinobu,$0.01,$0.04
Nami (Parallel),$190.88,$174.17
Jean Bart,$0.01,$0.05
Kurozumi Higurashi,$0.03,$0.06
Elephant's Marchoo,$0.01,$0.05
Who's.Who,$0.01,$0.07
Artificial Devil Fruit SMILE,$0.01,$0.08
Mr.1 (Daz.Bonez),$0.01,$0.10
Holedem,$0.01,$0.05
Sai,$0.01,$0.04
Roronoa Zoro (025) (Parallel),$79.00,$87.33
Kurozumi Orochi,$0.02,$0.08
Babanuki,$0.01,$0.05
Kaido (061) (Parallel),$60.75,$81.83
Kurozumi Semimaru,$0.01,$0.04
Crocodile (062) (Parallel),$56.75,$63.85
Donquixote Doflamingo (060) (Parallel),$242.99,$256.32
Monkey.D.Luffy (003) (Parallel),$125.00,$153.93
Urashima,$0.01,$0.07
Romance Dawn - Booster Box Case,"$2,840.00","$3,519.44"
King (091) (Parallel),$39.99,$51.00
Kouzuki Oden (Parallel),$49.67,$53.01
Roronoa Zoro (001) (Parallel),$228.00,$277.08
Trafalgar Law (002) (Parallel),$235.00,$299.50
Box Promotion Pack,$9.01,$13.53
Shanks (Parallel) (Alternate Art),"$1,430.00","$2,363.99"
